CourseTypeBroadName,FundingGroupName,,UnitLevelCode,UnitPrimaryFOECode,UnitPrimaryFOEDetailedName,UnitPrimaryFOENarrowName,UnitPrimaryFOEBroadName, 2024 EFTSL 
Undergraduate,Domestic - C'wealth Supported,,2,80101,Accounting,Accounting,Management And Commerce,0.125
Undergraduate,Domestic - C'wealth Supported,,4,39999,Engineering And Related Technologies Not Elsewhere Classifie,Other Engineering And Related Technologies,Engineering And Related Technologies,1.875
Undergraduate,Domestic - C'wealth Supported,,2,30999,Civil Engineering Not Elsewhere Classified,Civil Engineering,Engineering And Related Technologies,6.125
Undergraduate,Domestic - C'wealth Supported,,3,30305,Materials Engineering,Process And Resources Engineering,Engineering And Related Technologies,4.625
Undergraduate,Domestic - C'wealth Supported,,1,91701,Philosophy,Philosophy And Religious Studies,Society And Culture,0.25
Undergraduate,Domestic - C'wealth Supported,,1,91901,Economics,Economics And Econometrics,Society And Culture,0.375
Undergraduate,Domestic - C'wealth Supported,,1,29901,Security Science,Other Information Technology,Information Technology,5.5
Undergraduate,Domestic - C'wealth Supported,,3,20199,Computer Science Not Elsewhere Classified,Computer Science,Information Technology,1.75
Undergraduate,Domestic - C'wealth Supported,,4,20119,Artificial Intelligence,Computer Science,Information Technology,0.875
Undergraduate,Domestic - C'wealth Supported,,1,100101,Music,Performing Arts,Creative Arts,0.125
Undergraduate,Domestic - C'wealth Supported,,1,80309,Industrial Relations,Business And Management,Management And Commerce,0.125
Undergraduate,Domestic - C'wealth Supported,,1,80307,Organisation Management,Business And Management,Management And Commerce,0.375
Undergraduate,Domestic - C'wealth Supported,,5,30701,Mechanical Engineering,Mechanical And Industrial Engineering And Technology,Engineering And Related Technologies,0.5
Undergraduate,Domestic - C'wealth Supported,,1,90701,Psychology,Behavioural Science,Society And Culture,0.5
Undergraduate,Domestic - C'wealth Supported,,2,10999,Biological Sciences Not Elsewhere Classified,Biological Sciences,Natural And Physical Sciences,0.125
Undergraduate,Domestic - C'wealth Supported,,1,10303,Astronomy,Physics And Astronomy,Natural And Physical Sciences,0.25
Undergraduate,Domestic - C'wealth Supported,,1,10913,Human Biology,Biological Sciences,Natural And Physical Sciences,0.375
Undergraduate,Domestic - C'wealth Supported,,2,91503,Northern European Languages,Language And Literature,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,3,30911,Geotechnical Engineering,Civil Engineering,Engineering And Related Technologies,1.875
Undergraduate,Domestic - C'wealth Supported,,3,30903,Structural Engineering,Civil Engineering,Engineering And Related Technologies,1.875
Undergraduate,Domestic - C'wealth Supported,,5,30903,Structural Engineering,Civil Engineering,Engineering And Related Technologies,0.25
Undergraduate,Domestic - C'wealth Supported,,1,90307,Archaeology,Studies In Human Society,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,4,39999,Engineering And Related Technologies Not Elsewhere Classifie,Other Engineering And Related Technologies,Engineering And Related Technologies,2.625
Undergraduate,Domestic - C'wealth Supported,,2,30900,Civil Engineering,Civil Engineering,Engineering And Related Technologies,3.75
Undergraduate,Domestic - C'wealth Supported,,4,31301,Electrical Engineering,Electrical And Electronic Engineering And Technology,Engineering And Related Technologies,0.875
Undergraduate,Domestic - C'wealth Supported,,5,31300,Electrical And Electronic Engineering And Technology,Electrical And Electronic Engineering And Technology,Engineering And Related Technologies,0.625
Undergraduate,Domestic - C'wealth Supported,,2,91515,Eastern Asian Languages,Language And Literature,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,5,20100,Computer Science,Computer Science,Information Technology,0.25
Undergraduate,Domestic - C'wealth Supported,,3,31305,Computer Engineering,Electrical And Electronic Engineering And Technology,Engineering And Related Technologies,9.375
Undergraduate,Domestic - C'wealth Supported,,3,31303,Electronic Engineering,Electrical And Electronic Engineering And Technology,Engineering And Related Technologies,4.125
Undergraduate,Domestic - C'wealth Supported,,3,39903,Biomedical Engineering,Other Engineering And Related Technologies,Engineering And Related Technologies,1.25
Undergraduate,Domestic - C'wealth Supported,,2,30301,Chemical Engineering,Process And Resources Engineering,Engineering And Related Technologies,4.25
Undergraduate,Domestic - C'wealth Supported,,5,30301,Chemical Engineering,Process And Resources Engineering,Engineering And Related Technologies,0.125
Undergraduate,Domestic - C'wealth Supported,,4,39999,Engineering And Related Technologies Not Elsewhere Classifie,Other Engineering And Related Technologies,Engineering And Related Technologies,1
Undergraduate,Domestic - C'wealth Supported,,4,39903,Biomedical Engineering,Other Engineering And Related Technologies,Engineering And Related Technologies,0.25
Undergraduate,Domestic - C'wealth Supported,,4,39903,Biomedical Engineering,Other Engineering And Related Technologies,Engineering And Related Technologies,0.375
Undergraduate,Domestic - C'wealth Supported,,3,10711,Hydrology,Earth Sciences,Natural And Physical Sciences,1.875
Undergraduate,Domestic - C'wealth Supported,,4,39901,Environmental Engineering,Other Engineering And Related Technologies,Engineering And Related Technologies,1.125
Undergraduate,Domestic - C'wealth Supported,,1,100700,Communication And Media Studies,Communication And Media Studies,Creative Arts,0.5
Undergraduate,Domestic - C'wealth Supported,,2,100700,Communication And Media Studies,Communication And Media Studies,Creative Arts,0.25
Undergraduate,Domestic - C'wealth Supported,,3,31301,Electrical Engineering,Electrical And Electronic Engineering And Technology,Engineering And Related Technologies,3.875
Undergraduate,Domestic - C'wealth Supported,,4,31301,Electrical Engineering,Electrical And Electronic Engineering And Technology,Engineering And Related Technologies,1.5
Undergraduate,Domestic - C'wealth Supported,,5,31303,Electronic Engineering,Electrical And Electronic Engineering And Technology,Engineering And Related Technologies,0.125
Undergraduate,Domestic - C'wealth Supported,,3,30701,Mechanical Engineering,Mechanical And Industrial Engineering And Technology,Engineering And Related Technologies,5.125
Undergraduate,Domestic - C'wealth Supported,,3,30301,Chemical Engineering,Process And Resources Engineering,Engineering And Related Technologies,7.25
Undergraduate,Domestic - C'wealth Supported,,2,30300,Process And Resources Engineering,Process And Resources Engineering,Engineering And Related Technologies,0.375
Undergraduate,Domestic - C'wealth Supported,,3,30301,Chemical Engineering,Process And Resources Engineering,Engineering And Related Technologies,1.125
Undergraduate,Domestic - C'wealth Supported,,3,30301,Chemical Engineering,Process And Resources Engineering,Engineering And Related Technologies,0.625
Undergraduate,Domestic - C'wealth Supported,,3,30301,Chemical Engineering,Process And Resources Engineering,Engineering And Related Technologies,3
Undergraduate,Domestic - C'wealth Supported,,3,30301,Chemical Engineering,Process And Resources Engineering,Engineering And Related Technologies,0.875
Undergraduate,Domestic - C'wealth Supported,,4,30301,Chemical Engineering,Process And Resources Engineering,Engineering And Related Technologies,0.75
Undergraduate,Domestic - C'wealth Supported,,4,30301,Chemical Engineering,Process And Resources Engineering,Engineering And Related Technologies,1.25
Undergraduate,Domestic - C'wealth Supported,,3,30701,Mechanical Engineering,Mechanical And Industrial Engineering And Technology,Engineering And Related Technologies,0.625
Undergraduate,Domestic - C'wealth Supported,,3,30305,Materials Engineering,Process And Resources Engineering,Engineering And Related Technologies,0.625
Undergraduate,Domestic - C'wealth Supported,,3,30911,Geotechnical Engineering,Civil Engineering,Engineering And Related Technologies,0.125
Undergraduate,Domestic - C'wealth Supported,,3,31305,Computer Engineering,Electrical And Electronic Engineering And Technology,Engineering And Related Technologies,0.25
Undergraduate,Domestic - C'wealth Supported,,2,39901,Environmental Engineering,Other Engineering And Related Technologies,Engineering And Related Technologies,0.875
Undergraduate,Domestic - C'wealth Supported,,1,30301,Chemical Engineering,Process And Resources Engineering,Engineering And Related Technologies,5.625
Undergraduate,Domestic - C'wealth Supported,,2,30301,Chemical Engineering,Process And Resources Engineering,Engineering And Related Technologies,4.375
Undergraduate,Domestic - C'wealth Supported,,3,30301,Chemical Engineering,Process And Resources Engineering,Engineering And Related Technologies,1.125
Undergraduate,Domestic - C'wealth Supported,,5,30301,Chemical Engineering,Process And Resources Engineering,Engineering And Related Technologies,0.5
Undergraduate,Domestic - C'wealth Supported,,3,39903,Biomedical Engineering,Other Engineering And Related Technologies,Engineering And Related Technologies,1.75
Undergraduate,Domestic - C'wealth Supported,,2,90313,Gender Specific Studies,Studies In Human Society,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,2,90313,Gender Specific Studies,Studies In Human Society,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,3,39901,Environmental Engineering,Other Engineering And Related Technologies,Engineering And Related Technologies,1.25
Undergraduate,Domestic - C'wealth Supported,,3,39901,Environmental Engineering,Other Engineering And Related Technologies,Engineering And Related Technologies,1
Undergraduate,Domestic - C'wealth Supported,,5,39901,Environmental Engineering,Other Engineering And Related Technologies,Engineering And Related Technologies,0.875
Undergraduate,Domestic - C'wealth Supported,,2,91503,Northern European Languages,Language And Literature,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,3,30701,Mechanical Engineering,Mechanical And Industrial Engineering And Technology,Engineering And Related Technologies,1.5
Undergraduate,Domestic - C'wealth Supported,,2,31303,Electronic Engineering,Electrical And Electronic Engineering And Technology,Engineering And Related Technologies,21
Undergraduate,Domestic - C'wealth Supported,,3,30903,Structural Engineering,Civil Engineering,Engineering And Related Technologies,0.25
Undergraduate,Domestic - C'wealth Supported,,3,30999,Civil Engineering Not Elsewhere Classified,Civil Engineering,Engineering And Related Technologies,0.125
Undergraduate,Domestic - C'wealth Supported,,5,30799,Mechanical And Industrial Engineering And Technology Not Els,Mechanical And Industrial Engineering And Technology,Engineering And Related Technologies,4.875
Undergraduate,Domestic - C'wealth Supported,,1,91515,Eastern Asian Languages,Language And Literature,Society And Culture,0.25
Undergraduate,Domestic - C'wealth Supported,,2,91515,Eastern Asian Languages,Language And Literature,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,3,30900,Civil Engineering,Civil Engineering,Engineering And Related Technologies,2.5
Undergraduate,Domestic - C'wealth Supported,,1,31305,Computer Engineering,Electrical And Electronic Engineering And Technology,Engineering And Related Technologies,12.75
Undergraduate,Domestic - C'wealth Supported,,4,31307,Communications Technologies,Electrical And Electronic Engineering And Technology,Engineering And Related Technologies,1.875
Undergraduate,Domestic - C'wealth Supported,,4,31301,Electrical Engineering,Electrical And Electronic Engineering And Technology,Engineering And Related Technologies,2.25
Undergraduate,Domestic - C'wealth Supported,,2,90303,Anthropology,Studies In Human Society,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,1,20103,Programming,Computer Science,Information Technology,10.625
Undergraduate,Domestic - C'wealth Supported,,2,20100,Computer Science,Computer Science,Information Technology,3.375
Undergraduate,Domestic - C'wealth Supported,,4,20113,Networks And Communications,Computer Science,Information Technology,0.625
Undergraduate,Domestic - C'wealth Supported,,5,30907,Water And Sanitary Engineering,Civil Engineering,Engineering And Related Technologies,0.5
Undergraduate,Domestic - C'wealth Supported,,2,10301,Physics,Physics And Astronomy,Natural And Physical Sciences,0.125
Undergraduate,Domestic - C'wealth Supported,,2,10913,Human Biology,Biological Sciences,Natural And Physical Sciences,1.625
Undergraduate,Domestic - C'wealth Supported,,1,91515,Eastern Asian Languages,Language And Literature,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,2,91515,Eastern Asian Languages,Language And Literature,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,1,91701,Philosophy,Philosophy And Religious Studies,Society And Culture,0.5
Undergraduate,Domestic - C'wealth Supported,,1,60101,General Medicine,Medical Studies,Health,2.875
Undergraduate,Domestic - C'wealth Supported,,2,10101,Mathematics,Mathematical Sciences,Natural And Physical Sciences,0.75
Undergraduate,Domestic - C'wealth Supported,,2,91505,Southern European Languages,Language And Literature,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,2,91505,Southern European Languages,Language And Literature,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,1,10301,Physics,Physics And Astronomy,Natural And Physical Sciences,11.25
Undergraduate,Domestic - C'wealth Supported,,1,19907,Pharmacology,Other Natural And Physical Sciences,Natural And Physical Sciences,0.25
Undergraduate,Domestic - C'wealth Supported,,2,91701,Philosophy,Philosophy And Religious Studies,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,3,30301,Chemical Engineering,Process And Resources Engineering,Engineering And Related Technologies,1.125
Undergraduate,Domestic - C'wealth Supported,,4,31305,Computer Engineering,Electrical And Electronic Engineering And Technology,Engineering And Related Technologies,1
Undergraduate,Domestic - C'wealth Supported,,3,30900,Civil Engineering,Civil Engineering,Engineering And Related Technologies,0.125
Undergraduate,Domestic - C'wealth Supported,,2,39901,Environmental Engineering,Other Engineering And Related Technologies,Engineering And Related Technologies,0.625
Undergraduate,Domestic - C'wealth Supported,,1,91503,Northern European Languages,Language And Literature,Society And Culture,0.5
Undergraduate,Domestic - C'wealth Supported,,1,91515,Eastern Asian Languages,Language And Literature,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,2,91515,Eastern Asian Languages,Language And Literature,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,5,30900,Civil Engineering,Civil Engineering,Engineering And Related Technologies,0.375
Undergraduate,Domestic - C'wealth Supported,,2,31301,Electrical Engineering,Electrical And Electronic Engineering And Technology,Engineering And Related Technologies,6.625
Undergraduate,Domestic - C'wealth Supported,,3,31303,Electronic Engineering,Electrical And Electronic Engineering And Technology,Engineering And Related Technologies,3.5
Undergraduate,Domestic - C'wealth Supported,,4,31301,Electrical Engineering,Electrical And Electronic Engineering And Technology,Engineering And Related Technologies,1.625
Undergraduate,Domestic - C'wealth Supported,,2,19903,Forensic Science,Other Natural And Physical Sciences,Natural And Physical Sciences,0.625
Undergraduate,Domestic - C'wealth Supported,,1,20103,Programming,Computer Science,Information Technology,0.25
Undergraduate,Domestic - C'wealth Supported,,3,20100,Computer Science,Computer Science,Information Technology,0.25
Undergraduate,Domestic - C'wealth Supported,,3,20305,Systems Analysis And Design,Information Systems,Information Technology,1.75
Undergraduate,Domestic - C'wealth Supported,,4,30701,Mechanical Engineering,Mechanical And Industrial Engineering And Technology,Engineering And Related Technologies,3.5
Undergraduate,Domestic - C'wealth Supported,,3,10101,Mathematics,Mathematical Sciences,Natural And Physical Sciences,0.125
Undergraduate,Domestic - C'wealth Supported,,2,10103,Statistics,Mathematical Sciences,Natural And Physical Sciences,0.25
Undergraduate,Domestic - C'wealth Supported,,1,91515,Eastern Asian Languages,Language And Literature,Society And Culture,0.375
Undergraduate,Domestic - C'wealth Supported,,2,20100,Computer Science,Computer Science,Information Technology,33.125
Undergraduate,Domestic - C'wealth Supported,,1,50900,Environmental Studies,Environmental Studies,Agriculture  Environmental And Related Studies,0.75
Undergraduate,Domestic - C'wealth Supported,,2,90901,Business And Commercial Law,Law,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,2,30301,Chemical Engineering,Process And Resources Engineering,Engineering And Related Technologies,4.125
Undergraduate,Domestic - C'wealth Supported,,3,20113,Networks And Communications,Computer Science,Information Technology,1.375
Undergraduate,Domestic - C'wealth Supported,,2,80101,Accounting,Accounting,Management And Commerce,0.125
Undergraduate,Domestic - C'wealth Supported,,4,30909,Transport Engineering,Civil Engineering,Engineering And Related Technologies,2
Undergraduate,Domestic - C'wealth Supported,,3,30903,Structural Engineering,Civil Engineering,Engineering And Related Technologies,0.875
Undergraduate,Domestic - C'wealth Supported,,2,20103,Programming,Computer Science,Information Technology,2.875
Undergraduate,Domestic - C'wealth Supported,,5,30301,Chemical Engineering,Process And Resources Engineering,Engineering And Related Technologies,0.125
Undergraduate,Domestic - C'wealth Supported,,1,30911,Geotechnical Engineering,Civil Engineering,Engineering And Related Technologies,7.375
Undergraduate,Domestic - C'wealth Supported,,3,10101,Mathematics,Mathematical Sciences,Natural And Physical Sciences,7.625
Undergraduate,Domestic - C'wealth Supported,,3,31301,Electrical Engineering,Electrical And Electronic Engineering And Technology,Engineering And Related Technologies,5
Undergraduate,Domestic - C'wealth Supported,,1,10999,Biological Sciences Not Elsewhere Classified,Biological Sciences,Natural And Physical Sciences,0.125
Undergraduate,Domestic - C'wealth Supported,,1,91505,Southern European Languages,Language And Literature,Society And Culture,0.5
Undergraduate,Domestic - C'wealth Supported,,2,90599,Human Welfare Studies And Services Not Elsewhere Classified,Human Welfare Studies And Services,Society And Culture,0.25
Undergraduate,Domestic - C'wealth Supported,,3,99999,Society And Culture Not Elsewhere Classified,Other Society And Culture,Society And Culture,0.5
Undergraduate,Domestic - C'wealth Supported,,2,30701,Mechanical Engineering,Mechanical And Industrial Engineering And Technology,Engineering And Related Technologies,26.5
Undergraduate,Domestic - C'wealth Supported,,2,30903,Structural Engineering,Civil Engineering,Engineering And Related Technologies,3.5
Undergraduate,Domestic - C'wealth Supported,,5,20113,Networks And Communications,Computer Science,Information Technology,0.75
Undergraduate,Domestic - C'wealth Supported,,2,20103,Programming,Computer Science,Information Technology,6.125
Undergraduate,Domestic - C'wealth Supported,,1,80505,Marketing,Sales And Marketing,Management And Commerce,0.625
Undergraduate,Domestic - C'wealth Supported,,1,90313,Gender Specific Studies,Studies In Human Society,Society And Culture,0.25
Undergraduate,Domestic - C'wealth Supported,,1,91503,Northern European Languages,Language And Literature,Society And Culture,0.5
Undergraduate,Domestic - C'wealth Supported,,1,90999,Law Not Elsewhere Classified,Law,Society And Culture,0.625
Undergraduate,Domestic - C'wealth Supported,,2,91701,Philosophy,Philosophy And Religious Studies,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,1,81101,Banking And Finance,"Banking, Finance And Related Fields",Management And Commerce,1.625
Undergraduate,Domestic - C'wealth Supported,,1,81101,Banking And Finance,"Banking, Finance And Related Fields",Management And Commerce,3.375
Undergraduate,Domestic - C'wealth Supported,,1,100301,Fine Arts,Visual Arts And Crafts,Creative Arts,0.25
Undergraduate,Domestic - C'wealth Supported,,4,50900,Environmental Studies,Environmental Studies,Agriculture  Environmental And Related Studies,0.5
Undergraduate,Domestic - C'wealth Supported,,1,91901,Economics,Economics And Econometrics,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,2,10711,Hydrology,Earth Sciences,Natural And Physical Sciences,1.125
Undergraduate,Domestic - C'wealth Supported,,1,100301,Fine Arts,Visual Arts And Crafts,Creative Arts,0.75
Undergraduate,Domestic - C'wealth Supported,,1,100301,Fine Arts,Visual Arts And Crafts,Creative Arts,0.125
Undergraduate,Domestic - C'wealth Supported,,1,50999,Environmental Studies Not Elsewhere Classified,Environmental Studies,Agriculture  Environmental And Related Studies,0.25
Undergraduate,Domestic - C'wealth Supported,,1,40101,Architecture,Architecture And Urban Environment,Architecture And Building,0.125
Undergraduate,Domestic - C'wealth Supported,,3,31199,Geomatic Engineering Not Elsewhere Classified,Geomatic Engineering,Engineering And Related Technologies,0.25
Undergraduate,Domestic - C'wealth Supported,,3,50999,Environmental Studies Not Elsewhere Classified,Environmental Studies,Agriculture  Environmental And Related Studies,0.875
Undergraduate,Domestic - C'wealth Supported,,1,10103,Statistics,Mathematical Sciences,Natural And Physical Sciences,0.25
Undergraduate,Domestic - C'wealth Supported,,1,59999,Agriculture  Environmental And Related Studies Not Elsewhere,"Other Agriculture, Environmental And Related Studies",Agriculture  Environmental And Related Studies,0.125
Undergraduate,Domestic - C'wealth Supported,,1,40103,Urban Design And Regional Planning,Architecture And Urban Environment,Architecture And Building,0.125
Undergraduate,Domestic - C'wealth Supported,,1,10703,Geology,Earth Sciences,Natural And Physical Sciences,2.375
Undergraduate,Domestic - C'wealth Supported,,1,10700,Earth Sciences,Earth Sciences,Natural And Physical Sciences,0.375
Undergraduate,Domestic - C'wealth Supported,,5,10711,Hydrology,Earth Sciences,Natural And Physical Sciences,0.125
Undergraduate,Domestic - C'wealth Supported,,3,30303,Mining Engineering,Process And Resources Engineering,Engineering And Related Technologies,1.25
Undergraduate,Domestic - C'wealth Supported,,2,100301,Fine Arts,Visual Arts And Crafts,Creative Arts,0.125
Undergraduate,Domestic - C'wealth Supported,,5,20305,Systems Analysis And Design,Information Systems,Information Technology,0.5
Undergraduate,Domestic - C'wealth Supported,,1,30305,Materials Engineering,Process And Resources Engineering,Engineering And Related Technologies,21.25
Undergraduate,Domestic - C'wealth Supported,,1,80399,Business And Management Not Elsewhere Classified,Business And Management,Management And Commerce,2
Undergraduate,Domestic - C'wealth Supported,,1,90311,Indigenous Studies,Studies In Human Society,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,3,30303,Mining Engineering,Process And Resources Engineering,Engineering And Related Technologies,1.375
Undergraduate,Domestic - C'wealth Supported,,3,30303,Mining Engineering,Process And Resources Engineering,Engineering And Related Technologies,1.25
Undergraduate,Domestic - C'wealth Supported,,4,20300,Information Systems,Information Systems,Information Technology,0.25
Undergraduate,Domestic - C'wealth Supported,,1,90900,Law,Law,Society And Culture,0.5
Undergraduate,Domestic - C'wealth Supported,,4,30303,Mining Engineering,Process And Resources Engineering,Engineering And Related Technologies,1.25
Undergraduate,Domestic - C'wealth Supported,,3,30303,Mining Engineering,Process And Resources Engineering,Engineering And Related Technologies,1.375
Undergraduate,Domestic - C'wealth Supported,,1,10103,Statistics,Mathematical Sciences,Natural And Physical Sciences,1
Undergraduate,Domestic - C'wealth Supported,,5,39999,Engineering And Related Technologies Not Elsewhere Classifie,Other Engineering And Related Technologies,Engineering And Related Technologies,0.125
Undergraduate,Domestic - C'wealth Supported,,5,30913,Ocean Engineering,Civil Engineering,Engineering And Related Technologies,0.5
Undergraduate,Domestic - C'wealth Supported,,2,30100,Manufacturing Engineering And Technology,Manufacturing Engineering And Technology,Engineering And Related Technologies,10
Undergraduate,Domestic - C'wealth Supported,,2,39901,Environmental Engineering,Other Engineering And Related Technologies,Engineering And Related Technologies,1.375
Undergraduate,Domestic - C'wealth Supported,,1,30913,Ocean Engineering,Civil Engineering,Engineering And Related Technologies,0.25
Undergraduate,Domestic - C'wealth Supported,,2,30913,Ocean Engineering,Civil Engineering,Engineering And Related Technologies,0.125
Undergraduate,Domestic - C'wealth Supported,,3,30913,Ocean Engineering,Civil Engineering,Engineering And Related Technologies,0.25
Undergraduate,Domestic - C'wealth Supported,,2,30913,Ocean Engineering,Civil Engineering,Engineering And Related Technologies,0.125
Undergraduate,Domestic - C'wealth Supported,,4,91900,Economics And Econometrics,Economics And Econometrics,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,4,91901,Economics,Economics And Econometrics,Society And Culture,0.25
Undergraduate,Domestic - C'wealth Supported,,4,91901,Economics,Economics And Econometrics,Society And Culture,0.25
Undergraduate,Domestic - C'wealth Supported,,4,91903,Econometrics,Economics And Econometrics,Society And Culture,0.25
Undergraduate,Domestic - C'wealth Supported,,4,91901,Economics,Economics And Econometrics,Society And Culture,0.25
Undergraduate,Domestic - C'wealth Supported,,4,91901,Economics,Economics And Econometrics,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,4,91901,Economics,Economics And Econometrics,Society And Culture,0.25
Undergraduate,Domestic - C'wealth Supported,,4,91901,Economics,Economics And Econometrics,Society And Culture,0.25
Undergraduate,Domestic - C'wealth Supported,,4,91901,Economics,Economics And Econometrics,Society And Culture,0.25
Undergraduate,Domestic - C'wealth Supported,,4,10103,Statistics,Mathematical Sciences,Natural And Physical Sciences,5.25
Undergraduate,Domestic - C'wealth Supported,,4,90701,Psychology,Behavioural Science,Society And Culture,5.125
Undergraduate,Domestic - C'wealth Supported,,4,90701,Psychology,Behavioural Science,Society And Culture,0.375
Undergraduate,Domestic - C'wealth Supported,,4,90701,Psychology,Behavioural Science,Society And Culture,10.25
Undergraduate,Domestic - C'wealth Supported,,4,90701,Psychology,Behavioural Science,Society And Culture,4.75
Undergraduate,Domestic - C'wealth Supported,,4,90701,Psychology,Behavioural Science,Society And Culture,6.25
Undergraduate,Domestic - C'wealth Supported,,4,90701,Psychology,Behavioural Science,Society And Culture,10.5
Undergraduate,Domestic - C'wealth Supported,,4,90900,Law,Law,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,4,90999,Law Not Elsewhere Classified,Law,Society And Culture,0.25
Undergraduate,Domestic - C'wealth Supported,,4,90999,Law Not Elsewhere Classified,Law,Society And Culture,0.25
Undergraduate,Domestic - C'wealth Supported,,5,90999,Law Not Elsewhere Classified,Law,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,5,90905,Criminal Law,Law,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,4,90999,Law Not Elsewhere Classified,Law,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,2,80307,Organisation Management,Business And Management,Management And Commerce,0.125
Undergraduate,Domestic - C'wealth Supported,,2,80311,International Business,Business And Management,Management And Commerce,0.125
Undergraduate,Domestic - C'wealth Supported,,1,69903,Human Movement,Other Health,Health,0.125
Undergraduate,Domestic - C'wealth Supported,,2,91523,Literature,Language And Literature,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,3,91505,Southern European Languages,Language And Literature,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,3,91523,Literature,Language And Literature,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,3,91599,Language And Literature Not Elsewhere Classified,Language And Literature,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,3,90311,Indigenous Studies,Studies In Human Society,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,2,90303,Anthropology,Studies In Human Society,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,2,90303,Anthropology,Studies In Human Society,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,2,90305,History,Studies In Human Society,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,3,91523,Literature,Language And Literature,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,1,50900,Environmental Studies,Environmental Studies,Agriculture  Environmental And Related Studies,0.125
Undergraduate,Domestic - C'wealth Supported,,1,91505,Southern European Languages,Language And Literature,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,2,91505,Southern European Languages,Language And Literature,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,2,91701,Philosophy,Philosophy And Religious Studies,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,3,61305,Indigenous Health,Public Health,Health,0.125
Undergraduate,Domestic - C'wealth Supported,,2,99999,Society And Culture Not Elsewhere Classified,Other Society And Culture,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,1,99999,Society And Culture Not Elsewhere Classified,Other Society And Culture,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,3,90307,Archaeology,Studies In Human Society,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,3,90307,Archaeology,Studies In Human Society,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,2,91505,Southern European Languages,Language And Literature,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,1,90311,Indigenous Studies,Studies In Human Society,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,3,91505,Southern European Languages,Language And Literature,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,1,91500,Language And Literature,Language And Literature,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,2,100701,Audio Visual Studies,Communication And Media Studies,Creative Arts,0.125
Undergraduate,Domestic - C'wealth Supported,,2,91521,Linguistics,Language And Literature,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,2,91521,Linguistics,Language And Literature,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,3,90101,Political Science,Political Science And Policy Studies,Society And Culture,0.25
Undergraduate,Domestic - C'wealth Supported,,2,90311,Indigenous Studies,Studies In Human Society,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,3,90701,Psychology,Behavioural Science,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,3,90303,Anthropology,Studies In Human Society,Society And Culture,0.125
